song_name,artist_name
All Of The Lights,Kanye West
No Lie,2 Chainz
Aston Martin Music,Rick Ross
Loungin (Who Do Ya Luv),LL Cool J
O.P.P.,Naughty By Nature
Heartless,Kanye West
Player's  Ball,OutKast
Holla Holla,Ja Rule
"Left, Right, Left",Drama
Call me D-Nice,D-Nice
C'Mon N' Ride It (The Train),Quad City DJ's
Looking At The Front Door,Main Source
Money Maker,Ludacris
The Way You Move,OutKast
Jigga My Nigga,Ruff Ryders
Slow Motion,Juvenile
Headlines,Drake
Got Money,Lil Wayne
My Baby,Lil' Romeo
Lovers and Friends,Lil Jon
Damn!,Youngbloodz
Whistle While You Twurk,Ying Yang Twins
Country Grammar (Hot Shit),Nelly
Crank That (Soulja Boy),Soulja Boy
Jump,Kris Kross
Po Pimp,Do or Die
Dunkie Butt by 12 Gauge,12 Gauge
"Lights, Camera, Action!",Mr. Cheeks
I'll Do 4 U,Father MC
Lookin' At Me,Mase
Independent,Webbie
Drank In My Cup,Kirko Bangz
"4, 5, 6",Sole'
It Ain't My Fault 2,Silkk The Shocker
Funkdafied,Da Brat
Rump Shaker,Wreckx-N-Effect
Around The Way Girl,LL Cool J
Callin' Me,Lil' Zane
Mind Playing Tricks on Me,Geto Boys
Work It,Missy Elliott
Dilemma,Nelly
Get Money,Junior M.A.F.I.A.
"Lean Wit It, Rock Wit It",Dem Franchize Boyz
I Got 5 On It,Luniz
They Want EFX,Das EFX
Ghetto Cowboy,Mo Thugs
Raise Up,Petey Pablo
It's Goin' Down,Yung Joc
Empire State of Mind,Jay Z
Da' Dip,Freak Nasty
Good Life,Kanye West
Bounce With Me,Bow Wow
Moment 4 Life,Nicki Minaj
Walk It Out,Unk
Nothin' On You,B.o.B.
Dead and Gone,T.I.
No Time,Lil' Kim
Right Thurr,Chingy
Gangnam Style,PSY
I'll Be Missing You,Diddy
Deja Vu (Uptown Baby),Lord Tariq and Peter Gunz
BedRock,Young Money
Lollipop,Lil Wayne
In Da Club,50 Cent
Who Dat,JT Money
One More Chance,The Notorious B.I.G.
Knockin' Boots,Candyman
Up Jumps Da Boogie,Timbaland and Magoo
I Want It All,Warren G
Treat ‘Em Right,Chubb Rock
I Like Dem Girlz,Lil Jon and The East Side Boyz
Me So Horny,2 LIVE CREW
Live Your Life,T.I.
Look At Me Now,Chris Brown
Holy Grail,Jay Z
I'm On One,DJ Khaled
Get Low,Lil Jon and The East Side Boyz
Cross the Border,Philly's Most Wanted
Drop It Like It's Hot,Snoop Dogg
Lean Back,Terror Squad
The Phuncky Feel One,Cypress Hill
Niggas in Paris,Jay Z and Kanye West
Mercy,Kanye West
Can't Nobody Hold Me Down,Diddy
How Do You Want It,2Pac
Best I Ever Had,Drake
Whatever You Like,T.I.
Low,Flo Rida
The Motto,Drake
The Humpty Dance,Digital Underground
No Hands,Waka Flocka Flame
Big Poppa,The Notorious B.I.G.
Flava in Ya Ear,Craig Mack
Gangsta's Paradise,Coolio
Expression,Salt-N-Pepa
Can't Hold Us,Macklemore and Ryan Lewis
Hot Boyz,Missy Elliott
Tootsee Roll,69 Boyz
Thrift Shop,Macklemore and Ryan Lewis
